"Id","name","price_change_percentage_24h","market_cap_change_percentage_24h","market_cap_rank","price_change_percentage_24h","total_supply","total_volume","high_24h","low_24h"
"bitcoin","Bitcoin","1.00531","1.14441","1","1.00531","21000000","738296138397","2233064","2196543"
"ethereum","Ethereum","0.98598","1.3357","2","0.98598","122951965.997226","411946798258","149914","147335"
"tether","Tether","0.21724","0.21724","3","0.21724","82797235449.0672","916326331381","82.55","82.02"
"binancecoin","BNB","1.32853","1.33907","4","1.32853","157900174","30897624368","25872","25446"
"usd-coin","USD Coin","-0.06292","0.21478","5","-0.06292","29974019982.9969","126359906730","82.6","82.02"
"ripple","XRP","0.2668","0.66688","6","0.2668","99988965239","31137060753","35.53","34.85"
"cardano","Cardano","2.12068","2.10142","7","2.12068","45000000000","10901428162","30.74","29.91"
"staked-ether","Lido Staked Ether","1.02136","1.5233","8","1.02136","6637252.45137938","1148105438","149767","147226"
"dogecoin","Dogecoin","0.8373","1.0674","9","0.8373","","14797459572","5.99","5.88"
"solana","Solana","1.34337","1.52596","10","1.34337","547578417.040441","19168463752","1748.13","1699.93"
"matic-network","Polygon","1.175","1.5152","11","1.175","10000000000","13689836293","71.38","69.36"
"polkadot","Polkadot","1.57514","1.70378","12","1.57514","1313421904.87753","6471387728","447.65","438.07"
"tron","TRON","0.39953","0.43105","13","0.39953","90442168899.9514","21710303343","5.75","5.69"
"litecoin","Litecoin","3.48466","3.63702","14","3.48466","84000000","31444166535","6892.06","6573.18"
"binance-usd","Binance USD","0.02909","0.05991","15","0.02909","5614434161.66","49554638703","82.63","81.97"
"shiba-inu","Shiba Inu","0.98151","1.10511","16","0.98151","999990881124151","7656766569","0.00073364","0.00071887"
"avalanche-2","Avalanche","0.80788","1.04006","17","0.80788","428554887.555897","6867929594","1246.35","1221.06"
"dai","Dai","-0.0228","-0.05188","18","-0.0228","4666891993.12766","3342087834","82.4","82.08"
"wrapped-bitcoin","Wrapped Bitcoin","1.16923","1.36745","19","1.16923","155209.39267587","5490908512","2235721","2196910"
"uniswap","Uniswap","1.27062","1.41744","20","1.27062","1000000000","2750034178","426.9","417.99"
"chainlink","Chainlink","0.87744","0.98253","21","0.87744","1000000000","7721103394","543.49","531.63"
"leo-token","LEO Token","1.82216","1.82827","22","1.82216","985239504","10366274","295.24","288.7"
"cosmos","Cosmos Hub","0.92503","1.18039","23","0.92503","","9669413783","913.17","891.99"
"the-open-network","Toncoin","7.06203","7.2022","24","7.06203","5057362773.99687","915923907","162.8","151.74"
"monero","Monero","0.80028","0.90947","25","0.80028","","3702104047","12691.5","12547.18"
"okb","OKB","1.33466","1.33908","26","1.33466","246638974","310401165","3734.54","3658.82"
"ethereum-classic","Ethereum Classic","0.88602","1.07849","27","0.88602","210700000","4668060967","1509.5","1482.98"
"stellar","Stellar","-0.48184","-0.28542","28","-0.48184","50001787352.1294","2562183842","7.35","7.25"
"internet-computer","Internet Computer","2.87874","3.11989","29","2.87874","498455285.646312","2100810359","434.84","418.89"
"bitcoin-cash","Bitcoin Cash","1.53028","1.67188","30","1.53028","21000000","4710886638","9516.41","9290.68"
"true-usd","TrueUSD","-0.25544","0.08455","31","-0.25544","2041446767.12","8386108179","82.55","81.86"
"filecoin","Filecoin","2.21388","2.55803","32","2.21388","1963556721","6011631401","368.78","356.54"
"lido-dao","Lido DAO","4.24824","3.70015","33","4.24824","1000000000","2584882779","159.75","153.42"
"aptos","Aptos","4.70248","4.94639","34","4.70248","1034326415.75003","4704540128","711.37","668.41"
"hedera-hashgraph","Hedera","1.73224","1.79467","35","1.73224","50000000000","994387453","4.34","4.22"
"crypto-com-chain","Cronos","4.34496","4.49804","36","4.34496","30263013692","2480683859","5.49","5.11"
"quant-network","Quant","1.92294","2.04644","37","1.92294","14612493","1091583112","9025.14","8706.1"
"arbitrum","Arbitrum","1.84166","2.07767","38","1.84166","10000000000","18007480091","98.99","94.43"
"near","NEAR Protocol","2.18036","2.31132","39","2.18036","1000000000","4667669654","137.95","134.4"
"vechain","VeChain","1.00119","1.0751","40","1.00119","85985041177","2479821404","1.59","1.57"
"apecoin","ApeCoin","2.83383","2.98361","41","2.83383","1000000000","4581329213","278.53","265.42"
"algorand","Algorand","1.81032","1.82768","42","1.81032","7440688219.56921","2215082463","13.69","13.35"
"the-graph","The Graph","1.291","1.56159","43","1.291","10000000000","1895852275","9.81","9.54"
"paxos-standard","Pax Dollar","-0.09516","-0.08289","44","-0.09516","1058571792.86068","897267136","82.54","81.92"
"fantom","Fantom","2.73803","2.87685","45","2.73803","3175000000","6782258783","30.88","29.69"
"frax","Frax","0.07705","0.37113","46","0.07705","1004141409.40878","283625358","82.45","81.71"
"edgecoin-2","Edgecoin","0.19581","0.21514","47","0.19581","1000000000","464327885","82.56","81.9"
"elrond-erd-2","MultiversX","0.55376","0.47082","48","0.55376","25416319","1505893128","3178.88","3114.63"
"eos","EOS","1.31697","1.65791","49","1.31697","","5210068775","72.87","71.35"
"rocket-pool","Rocket Pool","2.74037","2.85579","50","2.74037","19401717.0884453","859267999","4153.6","3984.12"
"the-sandbox","The Sandbox","0.93663","1.04928","51","0.93663","3000000000","3726007102","42.03","40.82"
"aave","Aave","1.55374","1.92318","52","1.55374","16000000","2250693256","5214.36","5089.33"
"theta-token","Theta Network","0.38554","0.15957","53","0.38554","1000000000","443543490","74.98","73.61"
"blockstack","Stacks","1.84233","2.23757","54","1.84233","1818000000","2205731957","53.16","50.55"
"decentraland","Decentraland","2.36137","2.52515","55","2.36137","2193179327.32015","2597951522","38.17","36.83"
"tezos","Tezos","0.82789","0.55867","56","0.82789","","1155378938","74.07","71.97"
"flow","Flow","2.03645","2.3326","57","2.03645","1433180637.98275","735904537","62.86","61.11"
"axie-infinity","Axie Infinity","0.62072","0.96177","58","0.62072","270000000","1916658007","561.54","550.66"
"pepe","Pepe","-8.9276","-9.05616","59","-8.9276","420690000000000","37848672037","0.00016314","0.0001449"
"kucoin-shares","KuCoin","-0.05623","-0.02104","60","-0.05623","144474735.456892","45174423","633.09","623"
"radix","Radix","-0.09861","-0.00588","61","-0.09861","12569658213.732","156571999","6.2","5.89"
"usdd","USDD","0.236","0.27353","62","0.236","","1503309694","82.45","81.75"
"immutable-x","ImmutableX","3.16016","3.28916","63","3.16016","2000000000","969412421","63.01","60.39"
"bitdao","BitDAO","1.10137","1.1645","64","1.10137","9610239403","240555630","40.35","39.82"
"bitcoin-cash-sv","Bitcoin SV","5.81408","5.62881","65","5.81408","21000000","5171325430","3056.81","2827.33"
"gatechain-token","Gate","0.41339","0.43207","66","0.41339","300000000","31032789","410.27","404.33"
"render-token","Render","0.94261","1.42587","67","0.94261","531016083.388796","3636043926","155.18","146.71"
"whitebit","WhiteBIT Token","0.30863","0.36085","68","0.30863","374103380","787193237","383.35","378.95"
"curve-dao-token","Curve DAO","1.09381","1.17415","69","1.09381","1947925965.32033","1753755362","67.52","65.47"
"havven","Synthetix Network","3.08208","3.01009","70","3.08208","318299576.088774","1304050501","171.36","164.5"
"bitget-token","Bitget Token","-0.77972","-0.58595","71","-0.77972","2000000000","1660653474","39.09","38.26"
"neo","NEO","1.12636","1.26325","72","1.12636","100000000","1726416300","754.33","735.49"
"sui","Sui","7.22398","8.2737","73","7.22398","10000000000","15831067202","98.94","88.06"
"rocket-pool-eth","Rocket Pool ETH","1.31493","2.37503","74","1.31493","322409.542425051","162101140","160665","157972"
"conflux-token","Conflux","9.39943","9.83193","75","9.39943","5284997962.62513","6696614885","23.31","20.4"
"chiliz","Chiliz","1.34942","1.50751","76","1.34942","8888888888","2419670579","8.93","8.72"
"bittorrent","BitTorrent","1.41184","1.51646","77","1.41184","990000000000000","1093433882","0.00004998","0.00004902"
"klay-token","Klaytn","-1.21619","-1.10963","78","-1.21619","","1906356406","15.6","15.15"
"gemini-dollar","Gemini Dollar","-0.05875","-0.16078","79","-0.05875","573779490.36","19453038","82.47","81.99"
"maker","Maker","0.51811","0.67659","80","0.51811","977631.036950888","1826016185","52202","51473"
"casper-network","Casper Network","2.5767","3.42527","82","2.5767","11712251167","688256003","4.2","3.99"
"optimism","Optimism","1.59478","1.6869","81","1.59478","4294967296","4702259637","138.22","131.99"
"gmx","GMX","1.72632","2.10366","83","1.72632","8708182.4452525","799847528","5127.96","4985"
"terra-luna","Terra Luna Classic","0.08542","0.41693","84","0.08542","6852097002448.76","2352992554","0.00756911","0.00730422"
"pax-gold","PAX Gold","0.25642","0.29309","85","0.25642","261868.768","317045007","166543","165538"
"kava","Kava","8.02245","8.17733","87","8.02245","518701644","3482419823","84.93","75.87"
"ecash","eCash","0.00539","0.25125","86","0.00539","21000000000000","887653940","0.00233933","0.00220172"
"mina-protocol","Mina Protocol","1.50738","0.73603","88","1.50738","1032271372.84004","952149416","46.96","45.23"
"tokenize-xchange","Tokenize Xchange","-0.22561","-0.13291","89","-0.22561","100000000","727478189","526.6","516"
"injective-protocol","Injective","3.63526","3.73363","90","3.63526","100000000","2757456107","520.68","485.53"
"tether-gold","Tether Gold","0.11654","0.14076","91","0.11654","246524.33","544493964","165932","164631"
"iota","IOTA","0.97253","1.11429","92","0.97253","2779530283","387232326","14.71","14.44"
"frax-share","Frax Share","5.29043","5.32613","93","5.29043","99822984.1145714","618260592","554.26","521.72"
"huobi-token","Huobi","5.13767","5.43483","94","5.13767","203980445.3","1514751061","248.04","228.85"
"compound-ether","cETH","1.27288","1.26239","95","1.27288","12935494.9102195","90347","3005.13","2961.89"
"dash","Dash","2.88883","3.28639","96","2.88883","18920000","2648661968","3446.61","3305.6"
"xdce-crowd-sale","XDC Network","1.0673","0.46789","97","1.0673","37835704115.4","307075080","2.8","2.75"
"trust-wallet-token","Trust Wallet","-0.02394","0.65928","98","-0.02394","1000000000","450389704","92.68","90.99"
"flare-networks","Flare","3.30444","3.38062","99","3.30444","100967158065.419","1294790512","2.35","2.27"
"kaspa","Kaspa","10.12018","10.23302","100","10.12018","17982303539","746398185","1.94","1.66"
